File already downloaded...
0 0 1
Epoch: [0][1/109]	Time 5.660 (5.660)	Data 0.800 (0.800)	Loss 2.077 (2.077)	Prec 14.83% (14.83%)	
Epoch: [0][2/109]	Time 0.281 (2.970)	Data 0.000 (0.400)	Loss 1.802 (1.940)	Prec 21.14% (17.98%)	
Epoch: [0][3/109]	Time 0.431 (2.124)	Data 0.001 (0.267)	Loss 1.688 (1.856)	Prec 14.28% (16.75%)	
Epoch: [0][4/109]	Time 0.428 (1.700)	Data 0.001 (0.200)	Loss 1.426 (1.748)	Prec 26.79% (19.26%)	
Epoch: [0][5/109]	Time 0.428 (1.445)	Data 0.001 (0.161)	Loss 1.222 (1.643)	Prec 38.24% (23.05%)	
Epoch: [0][6/109]	Time 0.426 (1.276)	Data 0.002 (0.134)	Loss 0.898 (1.519)	Prec 36.79% (25.34%)	
Epoch: [0][7/109]	Time 0.424 (1.154)	Data 0.001 (0.115)	Loss 0.980 (1.442)	Prec 39.90% (27.42%)	
Epoch: [0][8/109]	Time 0.429 (1.063)	Data 0.007 (0.102)	Loss 0.994 (1.386)	Prec 41.39% (29.17%)	
Epoch: [0][9/109]	Time 0.438 (0.994)	Data 0.000 (0.090)	Loss 0.869 (1.328)	Prec 50.74% (31.57%)	
Epoch: [0][10/109]	Time 0.427 (0.937)	Data 0.012 (0.082)	Loss 0.877 (1.283)	Prec 46.55% (33.06%)	
Epoch: [0][11/109]	Time 0.435 (0.892)	Data 0.001 (0.075)	Loss 0.579 (1.219)	Prec 52.19% (34.80%)	
Epoch: [0][12/109]	Time 0.423 (0.852)	Data 0.001 (0.069)	Loss 0.443 (1.155)	Prec 56.56% (36.62%)	
Epoch: [0][13/109]	Time 0.436 (0.820)	Data 0.001 (0.064)	Loss 0.720 (1.121)	Prec 60.90% (38.48%)	
Epoch: [0][14/109]	Time 0.423 (0.792)	Data 0.000 (0.059)	Loss 0.785 (1.097)	Prec 56.87% (39.80%)	
Epoch: [0][15/109]	Time 0.425 (0.768)	Data 0.001 (0.055)	Loss 0.719 (1.072)	Prec 50.99% (40.54%)	
Epoch: [0][16/109]	Time 0.427 (0.746)	Data 0.001 (0.052)	Loss 0.605 (1.043)	Prec 58.11% (41.64%)	
Epoch: [0][17/109]	Time 0.426 (0.727)	Data 0.001 (0.049)	Loss 0.552 (1.014)	Prec 56.00% (42.49%)	
Epoch: [0][18/109]	Time 0.437 (0.711)	Data 0.001 (0.046)	Loss 0.367 (0.978)	Prec 60.11% (43.47%)	
Epoch: [0][19/109]	Time 0.424 (0.696)	Data 0.002 (0.044)	Loss 0.503 (0.953)	Prec 48.46% (43.73%)	
Epoch: [0][20/109]	Time 0.429 (0.683)	Data 0.000 (0.042)	Loss 0.457 (0.928)	Prec 55.11% (44.30%)	
Epoch: [0][21/109]	Time 0.431 (0.671)	Data 0.001 (0.040)	Loss 0.454 (0.906)	Prec 52.77% (44.70%)	
Epoch: [0][22/109]	Time 0.430 (0.660)	Data 0.000 (0.038)	Loss 0.423 (0.884)	Prec 60.92% (45.44%)	
Epoch: [0][23/109]	Time 0.426 (0.650)	Data 0.001 (0.036)	Loss 0.328 (0.859)	Prec 62.31% (46.17%)	
Epoch: [0][24/109]	Time 0.427 (0.640)	Data 0.001 (0.035)	Loss 0.641 (0.850)	Prec 47.96% (46.25%)	
Epoch: [0][25/109]	Time 0.434 (0.632)	Data 0.000 (0.033)	Loss 0.580 (0.840)	Prec 65.40% (47.01%)	
Epoch: [0][26/109]	Time 0.432 (0.624)	Data 0.001 (0.032)	Loss 0.362 (0.821)	Prec 59.17% (47.48%)	
Epoch: [0][27/109]	Time 0.430 (0.617)	Data 0.002 (0.031)	Loss 0.499 (0.809)	Prec 68.96% (48.28%)	
Epoch: [0][28/109]	Time 0.434 (0.611)	Data 0.000 (0.030)	Loss 0.335 (0.792)	Prec 68.33% (48.99%)	
Epoch: [0][29/109]	Time 0.427 (0.604)	Data 0.001 (0.029)	Loss 0.916 (0.797)	Prec 63.70% (49.50%)	
